timestamp,model,machine,status,returncode,duration_sec,best_percentile,best_threshold,precision,recall,f1,pred_anomalies,true_anomalies,log_path,command,error
2026-04-20T17:02:06,lstm,machine-1-7,ok,0,28.522,99.0,2.872705,0.971607,0.557853,0.708765,1444,2515,results/logs/lstm__machine-1-7.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-7",
2026-04-20T17:02:35,lstm,machine-1-8,ok,0,32.28,99.5,1.345666,0.405114,0.319194,0.357058,743,943,results/logs/lstm__machine-1-8.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-1-8",
2026-04-20T17:03:07,lstm,machine-2-1,ok,0,29.443,99.0,0.845355,0.520161,0.300699,0.381093,744,1287,results/logs/lstm__machine-2-1.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-1",
2026-04-20T17:03:37,lstm,machine-2-2,ok,0,29.582,99.0,0.914665,0.401408,0.194407,0.261949,1420,2932,results/logs/lstm__machine-2-2.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-2",
2026-04-20T17:04:06,lstm,machine-2-3,ok,0,28.845,99.5,2.372929,0.719723,0.579387,0.641975,289,359,results/logs/lstm__machine-2-3.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-3",
2026-04-20T17:04:35,lstm,machine-2-4,ok,0,31.112,99.0,0.584118,0.614019,0.350587,0.446332,1070,1874,results/logs/lstm__machine-2-4.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-4",
2026-04-20T17:05:06,lstm,machine-2-5,ok,0,29.295,99.0,0.994049,0.670769,0.559453,0.610075,975,1169,results/logs/lstm__machine-2-5.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-5",
2026-04-20T17:05:35,lstm,machine-2-6,ok,0,33.725,99.9,4.713796,0.120592,0.431772,0.188528,1758,491,results/logs/lstm__machine-2-6.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-6",
2026-04-20T17:06:09,lstm,machine-2-7,ok,0,27.82,99.0,0.764862,0.736462,0.683417,0.708949,554,597,results/logs/lstm__machine-2-7.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-7",
2026-04-20T17:06:37,lstm,machine-2-8,ok,0,27.735,99.9,0.986946,0.012185,1.0,0.024076,13952,170,results/logs/lstm__machine-2-8.log,"python train_lstm.py --window 10 --stride 1 --val-ratio 0.1 --hidden-size 64 --epochs 20 --patience 5 --batch-size 64 --smooth-k 5 --percentiles 99.0,99.5,99.9 --device cpu --machine machine-2-8",
